id,severity,priority,component,source_remediation_status,evidence_status,remediation_files,validation,remaining_release_gate
CFG-001,HIGH,P0,Service Bus configuration,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/config/env.js; worker src/config/env.js; IaC data-platform.tf,config-fail-closed-v620.test.js; controlled profile preconditions,live Managed Identity smoke/local auth disable
CFG-002,HIGH,P0,PostgreSQL TLS,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/config/env.js; worker src/config/env.js,config-fail-closed-v620.test.js,production startup
CFG-003,MEDIUM,P1,Configuration validation,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,API and worker src/config/env.js,config-fail-closed-v620.test.js,full suites
AUTH-001,MEDIUM,P1,Admin OIDC authorization,SOURCE_REMEDIATED,SOURCE_AND_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/plugins/auth-admin.js; src/config/env.js; IaC admin-api.tf,admin-role-v620.test.js; config-fail-closed-v620.test.js,OIDC token live test
AUTH-002,MEDIUM,P1,Admin fallback,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/config/env.js; IaC admin-api.tf,config-fail-closed-v620.test.js,production startup
ONB-001,MEDIUM,P1,Azure onboarding state/redirect,SOURCE_REMEDIATED_EQUIVALENT_CONTROL,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/lib/onboarding-state.js; services/azure-onboarding-service.js; plugins/security-headers.js,onboarding-state-v620.test.js,live consent/replay/redirect test
ONB-002,LOW,P2,Success redirect configuration,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-api-enterprise/src/config/env.js,config-fail-closed-v620.test.js,production config smoke
CI-001,HIGH,P0,CI/CD,SOURCE_REMEDIATED,YAML_AND_STATIC_VALIDATED,.github/workflows/bevoac-enterprise-gates.yml; scripts/ci/*,YAML parse; source-security-gate.sh,GitHub Actions execution
IAC-OBS-001,HIGH,P0,Observability IaC,SOURCE_REMEDIATED,LOCAL_STATIC_VALIDATED,bevoac-iac-enterprise/monitoring-v620.tf; monitor-alerts.tf; v620-controlled-production.tf,static-hardening-check.sh,Terraform validate/plan/live alert notification
DOC-002,MEDIUM,P1,Documentation versioning,SOURCE_REMEDIATED,LOCAL_STATIC_VALIDATED,docs/README.md; docs/technical/*v6-2.md; docs/operations/*v6-2.md; docs/client/*v6-2.md; docs/MANIFEST.md,docs-gate.py,client review
DOC-003,MEDIUM,P1,Roadmap contract naming,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/contracts/scan-request.v2.multicloud.schema.json; sync-contracts.js,module-catalog-v620.test.js; source gate,full contract tests
FRT-001,HIGH,P0,Frontend product scope,SOURCE_REMEDIATED_BY_SCOPE_DECISION,SOURCE_VALIDATED,bevoac-frontend-enterprise/app; README.md; SECURITY.md; bevoac-iac-enterprise/frontend/index.html.tftpl; v620-controlled-production.tf,source-security-gate.sh; static-hardening-check.sh,frontend build/typecheck
FRT-002,HIGH,P0,Frontend API-key handling,SOURCE_REMEDIATED_BY_REMOVAL,LOCAL_STATIC_VALIDATED,bevoac-frontend-enterprise/app; SECURITY.md; bevoac-iac-enterprise/frontend/index.html.tftpl,browser storage and static onboarding source gates,frontend build/security review
FRT-003,MEDIUM,P1,Frontend proxy boundary,SOURCE_REMEDIATED_BY_REMOVAL,SOURCE_VALIDATED,bevoac-frontend-enterprise/app/api/bevoac/route.ts; bevoac-api-enterprise/src/routes/onboarding-azure.js,source-security-gate.sh; onboarding schema tests,frontend build and live onboarding callback
AZR-003,HIGH,P0,Resource Graph partial status,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/src/lib/status-semantics.js; affected Resource Graph modules,status-semantics-v620.test.js,Azure large-tenant acceptance
WRK-006,HIGH,P0,Invalid queued message consistency,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/src/services/message-processor.js; src/services/scan-store.js,message-processor-retry-v620.test.js; scan-store-ownership-v620.test.js,PostgreSQL and Service Bus integration
WRK-007,HIGH,P0,Disabled provider disposition,SOURCE_REMEDIATED,LOCAL_PURE_TEST_VALIDATED,bevoac-worker-enterprise/src/services/message-processor.js; src/providers/provider-registry.js,provider-boundary-runtime.test.js,Service Bus integration
CI-002,MEDIUM,P1,Relative import integrity,SOURCE_REMEDIATED,LOCAL_STATIC_VALIDATED,scripts/ci/relative-import-gate.py; scripts/ci/source-security-gate.sh,relative import gate,GitHub Actions execution
